Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Kanada;Pickering B 7;540;Ciê¿kowodny;PHWR;CANDU 500B;Energetyczny;01.sty.85;;;2024;","
Ameryka Pó³nocna;Kanada;Pickering B 8;540;Ciê¿kowodny;PHWR;CANDU 500B;Energetyczny;28.lut.86;;;2024;","
Ameryka Pó³nocna;Kanada;Point Lepreau 1;705;Ciê¿kowodny;PHWR;CANDU 6;Energetyczny;01.lut.83;;;2041;","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;0,000001 MWt;Ciê¿kowodny;;ZEEP;Badawczy;05.wrz.45;1973;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;42 MWt;Lekkowodno-ciê¿kowodny;;NRX;Badawczy;22.lip.47;30.mar.93;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;135 MWt;Ciê¿kowodny;;NRU;Badawczy;03.lis.57;39 Marzec 2018;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;0,00001 MWt;Lekkowodny;Zbiornikowy;PTR;Badawczy;29.lis.57;05.paŸ.90;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;0,00002 MWt;Lekkowodny;Kana³owy;ZED-2;Badawczy;07.wrz.60;;;;","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;0,0005 MWt;;SLOWPOKE;;Badawczy;1970;;;;Przeniesiony do Uniwerytetu w Toronto","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;10 MWt;;Zbiornikowo-kana³owy;MAPLE I;Badawczy;2000;2008;;;Program zawieszony","
Ameryka Pó³nocna;Kanada;Chalk River Laboratories - Chalk River, Ontario;10 MWt;;Zbiornikowo-kana³owy;MAPLE II;Badawczy;2003;2008;;;Program zawieszony","
Ameryka Pó³nocna;Kanada;McMaster University - Hamilton, Ontario;5 MWt;;MTR;MNR;Badawczy;04.kwi.59;;;;","
Ameryka Pó³nocna;Kanada;Whiteshell Laboratories - Pinawa, Manitoba;60 MWt;Ciê¿kowodny;CANDU;WR-1;Badawczy;01.lis.65;17.maj.85;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;Whiteshell Laboratories - Pinawa, Manitoba;2 MWt;;SLOWPOKE-3;SDR;Badawczy;15.lip.87;1989;;;Reaktor wy³¹czony","
