Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;Prêdki;;IFR;Badawczy wojskowy;;;;;Reaktor nigdy nie uruchomiony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);;;;MTR;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0,1 MWt;Grafitowo-gazowy;;TREAT;Badawczy wojskowy;1959;1994;;;Reaktor wy³¹czony, trwaj¹ pracê nad ponownym uruchomieniem","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0;;;ZPPR;Badawczy wojskowy;18.kwi.69;1990;;;Dzia³anie reaktora wstrzymane","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0;;;ZPR-III;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0;;;ZPR-6;Badawczy wojskowy;;1982;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0;;;ZPR-7;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Argonne National Laboratory, Illinois (and Idaho);0;;;ZPR-9;Badawczy wojskowy;;1981;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brookhaven National Laboratory, Upton, New York;;;;High Flux Beam Reactor;Badawczy wojskowy;;1999;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brookhaven National Laboratory, Upton, New York;;;;Medical Research Reactor;Badawczy wojskowy;;2000;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brookhaven National Laboratory, Upton, New York;;;;Brookhaven Graphite Research Reactor;Badawczy wojskowy;;1968;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Hanford Site, Washington;400 MWt;Prêdki;FNR;Fast Flux Test Facility;Badawczy wojskowy;1980;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;ARMF-I;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;AMRF-II;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;250 MWt;Lekkowodny;LWR;ATR;Badawczy wojskowy;1970;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;ATRC;Badawczy wojskowy;;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;CRCE;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;CFRMF;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;CET;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;Experimental Test Reactor;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;ETRC;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;10 MWt;;;EBOR;Badawczy wojskowy;;;;;Nigdy nie uruchomiony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;ECOR;Badawczy wojskowy;;;;;Nigdy nie uruchomiony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;710;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;Grafitowo-gazowy;;GCRE;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;HTRE-1;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;HTRE-2;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;HTRE-3;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;603-A;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;HOTCE;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;LOFT;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;NRAD;Badawczy wojskowy;;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;FRAN;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;OMRE;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;PBF;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;RMF;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SUSIE;Badawczy wojskowy;;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SPERT-I;Badawczy wojskowy;lut.55;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SPERT-II;Badawczy wojskowy;mar.60;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SPERT-III;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SPERT-IV;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SCRCE;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SNAPTRAN-1;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SNAPTRAN-2;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;SNAPTRAN-3;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho National Laboratory, Idaho;;;;THRITS;Badawczy wojskowy;;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Los Alamos National Laboratory, New Mexico;3 MWt;Grafitowo-gazowy;HTR;UHTREX;Badawczy wojskowy;1959;1971;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Los Alamos National Laboratory, New Mexico;;;;Omega West;Badawczy wojskowy;1956;1992;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Los Alamos National Laboratory, New Mexico;0,025 MWt;Prêdki;FNR;Clementine;Badawczy wojskowy;1946;;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Nevada Test Site, Nevada;;;;Demonstration Using Flattop Fission (DUFF);Badawczy wojskowy;2012;2012;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;X-10 Graphite Reactor;Badawczy wojskowy;1943;1963;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Homogeneous Reactor Experiment (HRE);Badawczy wojskowy;1952;1954;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Homogeneous Reactor Test (HRT);Badawczy wojskowy;1957;1961;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;2,5 MWt;;;Aircraft Reactor Experiment (ARE);Badawczy wojskowy;1954;1955;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;7,4 MWt;;;Molten Salt Reactor Experiment (MSRE);Badawczy wojskowy;1965;1969;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Health Physics Research Reactor (HPRR);Badawczy wojskowy;1963;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Low-Intensity Test Reactor (LITR);Badawczy wojskowy;1950;1968;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Bulk Shielding Reactor (BSR);Badawczy wojskowy;1950;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Geneva Conference Reactor;Badawczy wojskowy;1955;1955;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Tower Shielding Reactor-I (TSR-I);Badawczy wojskowy;1954;1958;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Tower Shielding Reactor-II (TSR-II);Badawczy wojskowy;1958;1982;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Oak Ridge Research Reactor (ORR);Badawczy wojskowy;1958;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;85 MWt;;;High Flux Isotope Reactor;Badawczy wojskowy;1965;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Pool Critical Assembly;Badawczy wojskowy;1958;1987;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oak Ridge National Laboratory, Tennessee;;;;Experimental Gas Cooled Reactor (EGCR);Badawczy wojskowy;;;;;Reaktor nigdy nie uruchomiony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Savannah River Site, South Carolina;70 MWt;Ciê¿kowodny;;HWCTR - Heavy Water Components Test Reactor;Badawczy wojskowy;1962;gru.64;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Santa Susana Field Laboratory, Simi Hills California;20 MWt;Prêdki;;Sodium Reactor Experiment;Badawczy wojskowy;1957;1964;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Santa Susana Field Laboratory, Simi Hills California;;;;SNAP-10A;Badawczy wojskowy;1965;1965;;;Reaktor wy³¹czony, obecnie kr¹¿y po orbicie oko³oziemskiej","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Aerotest Operations Inc., San Ramon, California;0,25 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1965;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Armed Forces Radiobiology Research Institute, Bethesda, Maryland;1 MWt;;TRIGA;TRIGA Mark F;Badawczy cywilny;1962;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Brigham Young University, Provo, Utah;0,00001 MWt;;;Atomics International L77;Badawczy cywilny;1967;1992;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Colorado State University, Fort Collins, CO;0,0000001 MWt;;;AGN-201 #109;Badawczy cywilny;1957;1976;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Dow Chemical Company, Midland, Michigan;0,3 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1967;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;General Electric Company, Sunol, California;0,1 MWt;;;Nuclear Test;Badawczy cywilny;1957;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Idaho State University, Pocatello, Idaho;0,000005 MWt;;;AGN-201 #103;Badawczy cywilny;1967;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Iowa State University, Ames, Iowa;0,003 MWt;;;experimental, instructional;Badawczy cywilny;1959;1998;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kansas State University, Manhattan, Kansas;1,25 MWt;;TRIGA;TRIGA Mark II;Badawczy cywilny;1962;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Kodak, Rochester, New York;0,0000058 MWt;;;Californium Neutron Flux Multiplier;Badawczy cywilny;1975;2006;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Massachusetts Institute of Technology, Cambridge, Massachusetts;6 MWt;Lekko-Ciê¿kowodny;Zbiornikowy;Tank Type HWR Reflected (MITR-II);Badawczy cywilny;1958;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Missouri University of Science and Technology, Rolla, Missouri;0,2 MWt;Lekkowodny;Zbiornikowy;Pool (MSTR);Badawczy cywilny;1961;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;National Institute of Standards and Technology, Gaithersburg, Maryland;20 MWt;;Zbiornikowy;Tank Type, Heavy Water Moderated;Badawczy cywilny;1967;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;North Carolina State University, Raleigh, North Carolina;1 MWt;;Zbiornikowy;Pulstar;Badawczy cywilny;1973;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Ohio State University, Columbus, Ohio;0,5 MWt;;Zbiornikowy;Pool (modified Lockheed);Badawczy cywilny;1961;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Oregon State University, Corvallis, Oregon;1,1 MWt;;TRIGA;TRIGA Mark II (OSTR);Badawczy cywilny;1967;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Penn State University, University Park, Pennsylvania;1,1 MWt;;TRIGA;TRIGA BNR Reactor;Badawczy cywilny;1965;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Purdue University, West Lafayette, Indiana;0,001 MWt;;Zbiornikowy;Lockheed (PUR-1);Badawczy cywilny;1962;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Reed College, Portland, Oregon;0,25 MWt;;TRIGA;TRIGA Mark I (RRR);Badawczy cywilny;1968;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Rensselaer Polytechnic Institute, Schenectady, New York;0,000015 MWt;;;Reactor Critical Facility;Badawczy cywilny;1965;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Rhode Island Atomic Energy Commission/University of Rhode Island, Narragansett, Rhode Island;2 MWt;;Zbiornikowy;GE Pool;Badawczy cywilny;1964;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Texas A&M University, College Station, TX;0,000005 MWt;;;AGN-201M #106;Badawczy cywilny;1957;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Texas A&M University, College Station, TX;1 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1962;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Arizona, Tucson, AZ;0,11 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1958;2010;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of California-Davis, Sacramento, California;2,3 MWt;;TRIGA;TRIGA Mark II, McClellan Nuclear Radiation Center;Badawczy cywilny;13.sie.98;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of California, Irvine, California;0,25 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1969;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Florida, Gainesville, Florida;0,1 MWt;;Argonaut;UF Training Reactor;Badawczy cywilny;1959;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Maryland, College Park, Maryland;0,25 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1960;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Massachusetts Lowell, Lowell, Massachusetts;1 MWt;;Zbiornikowy;Pool (UMLRR);Badawczy cywilny;1975;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Missouri, Columbia, Missouri;10 MWt;;Zbiornikowy;General Electric tank type UMRR;Badawczy cywilny;1966;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of New Mexico, Albuquerque, New Mexico;0,000005 MWt;;;AGN-201M #112;Badawczy cywilny;1966;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Texas at Austin, Austin, Texas;1,1 MWt;;TRIGA;TRIGA Mark II;Badawczy cywilny;1992;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Utah, Salt Lake City, Utah;0,1 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1975;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;University of Wisconsin–Madison, Madison, Wisconsin;1 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1961;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;U.S. Geological Survey, Denver, Colorado;1 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1969;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;U.S. Veterans Administration, Omaha, Nebraska;0,02 MWt;;TRIGA;TRIGA Mark I;Badawczy cywilny;1959;2001;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Washington State University, Pullman, Washington;1 MWt;;TRIGA;TRIGA Conversion (WSUR);Badawczy cywilny;07.mar.61;;;;","
Antarktyda;;McMurdo Station;1,8;Lekkowodny;PWR;PM-3A NNPU „Nukey Poo”;Energetyczny;mar.62;wrz.72;;;Reaktor wy³¹czony i zdemontowany","
Australia;Australia;Lucas Heights;10 MWt;Ciê¿kowodny;DIDO;HIFAR;Badawczy;1958;2007;;;Reaktor wy³¹czony i zamieniony przez OPAL","
Australia;Australia;Lucas Heights;0,1 MWt;;Argonaut;MOATA;Badawczy;10.kwi.61;31.maj.95;;;Reaktor wy³¹czony i zdemontowany","
Australia;Australia;Lucas Heights;20;;Zbiornikowy;OPAL;Badawczy;kwi.07;;;;","
Azja;Armenia;Metsamor-1;407,5;Lekkowodny;WWER;VVER V-270;Energetyczny;22.gru.72;25.lut.89;;;Reaktor wy³¹czony","
Azja;Armenia;Metsamor-2;407,5;Lekkowodny;WWER;VVER V-270;Energetyczny;05.sty.80;;;2026;","
Azja;Bangladesz;Rooppur 1;1200;Lekkowodny;WWER;VVER-1200/523;Energetyczny;;;2023;;W budowie","
Azja;Bangladesz;Rooppur 2;1200;Lekkowodny;WWER;VVER-1200/523;Energetyczny;;;2024;;W budowie","
Azja;Bangladesz;Savar;3;Wodno-grafitowy;Zbiornikowy;TRIGA Mark II;Badawczy;14.wrz.86;;;;","
Azja;Chiny;Changjiang 1;650;Lekkowodny;PWR;CNP-600;Enegetyczny;25.gru.15;;;;","
Azja;Chiny;Changjiang 2;650;Lekkowodny;PWR;CNP-600;Enegetyczny;12.sie.16;;;;","
Azja;Chiny;Daya Bay 1;984;Lekkowodny;PWR;M-310;Enegetyczny;31.sie.93;;;;","
Azja;Chiny;Daya Bay 2;984;Lekkowodny;PWR;M-310;Enegetyczny;02.lut.94;;;;","
Azja;Chiny;Fangchenggang 1;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;01.cze.16;;;;","
Azja;Chiny;Fangchenggang 2;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;01.paŸ.16;;;;","
Azja;Chiny;Fangchenggang 3;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2022;;W budowie","
Azja;Chiny;Fangchenggang 4;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2023;;W budowie","
Azja;Chiny;Fangjiashan 1;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;25.gru.14;;;;","
Azja;Chiny;Fangjiashan 2;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;12.lut.15;;;;","
Azja;Chiny;Fangjiashan 3;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2019;;W budowie ","
Azja;Chiny;Fangjiashan 4;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2020;;W budowie","
Azja;Chiny;Fuqing 1;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;22.lis.14;;;;","
Azja;Chiny;Fuqing 2;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;16.paŸ.15;;;;","
Azja;Chiny;Fuqing 3;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;24.paŸ.16;;;;","
Azja;Chiny;Fuqing 4;1089;Lekkowodny;PWR;CPR-1000;Enegetyczny;17.wrz.17;;;;","
Azja;Chiny;Fuqing 5;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2019;;W budowie","
Azja;Chiny;Fuqing 6;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2020;;W budowie","
Azja;Chiny;Haiyang 1;1170;Lekkowodny;PWR;AP1000;Enegetyczny;22.paŸ.18;;;;","
Azja;Chiny;Haiyang 2;1170;Lekkowodny;PWR;AP1000;Enegetyczny;09.sty.19;;;;","
Azja;Chiny;Hongyanhe 1;1119;Lekkowodny;PWR;CPR-1000;Enegetyczny;06.cze.13;;;;","
Azja;Chiny;Hongyanhe 2;1119;Lekkowodny;PWR;CPR-1000;Enegetyczny;13.maj.14;;;;","
Azja;Chiny;Hongyanhe 3;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;16.sie.15;;;;","
Azja;Chiny;Hongyanhe 4;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;01.kwi.16;;;;","
Azja;Chiny;Hongyanhe 5;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;lis.19;;W budowie","
Azja;Chiny;Hongyanhe 6;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;sie.20;;W budowie","
Azja;Chiny;Ling Ao I-1;990;Lekkowodny;PWR;M-310;Enegetyczny;2002;;;;","
Azja;Chiny;Ling Ao I-2;990;Lekkowodny;PWR;M-310;Enegetyczny;2003;;;;","
Azja;Chiny;Ling Ao II-1;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;27.wrz.10;;;;","
Azja;Chiny;Ling Ao II-2;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;07.sie.11;;;;","
Azja;Chiny;Ningde 1;1087;Lekkowodny;PWR;CPR-1000;Enegetyczny;18.kwi.13;;;;","
Azja;Chiny;Ningde 2;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;04.maj.14;;;;","
Azja;Chiny;Ningde 3;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;10.cze.15;;;;","
Azja;Chiny;Ningde 4;1080;Lekkowodny;PWR;CPR-1000;Enegetyczny;21.lip.16;;;;","
Azja;Chiny;Qinshan I;310;Lekkowodny;PWR;CNP-300;Enegetyczny;01.kwi.94;;;;","
Azja;Chiny;Qinshan II-1;650;Lekkowodny;PWR;CNP-600;Enegetyczny;15.kwi.02;;;;","
Azja;Chiny;Qinshan II-2;650;Lekkowodny;PWR;CNP-600;Enegetyczny;03.maj.04;;;;","
Azja;Chiny;Qinshan II-3;650;Lekkowodny;PWR;CNP-600;Enegetyczny;05.paŸ.10;;;;","
Azja;Chiny;Qinshan II-4;650;Lekkowodny;PWR;CNP-600;Enegetyczny;30.gru.11;;;;","
Azja;Chiny;Qinshan III-1;728;Ciê¿kowodny;PHWR;CANDU 6;Enegetyczny;31.gru.02;;;;","
Azja;Chiny;Qinshan III-2;728;Ciê¿kowodny;PHWR;CANDU 6;Enegetyczny;24.lip.03;;;;","
Azja;Chiny;Sanmen 1;1250;Lekkowodny;PWR;AP1000;Enegetyczny;21.paŸ.18;;;;","
Azja;Chiny;Sanmen 2;1250;Lekkowodny;PWR;AP1000;Enegetyczny;05.lis.18;;;;","
Azja;Chiny;Taishan 1;1750;Lekkowodny;PWR;EPR;Enegetyczny;13.gru.18;;;;","
Azja;Chiny;Taishan 2;1750;Lekkowodny;PWR;EPR;Enegetyczny;;;2019;;Trwaj¹ ostatnie prace prac¹ komercyjn¹","
Azja;Chiny;Tianwan-1;1060;Lekkowodny;WWER;VVER-1000/428 (AES-91);Enegetyczny;17.maj.07;;;;","
Azja;Chiny;Tianwan-2;1060;Lekkowodny;WWER;VVER-1000/428 (AES-91);Enegetyczny;16.sie.07;;;;","
Azja;Chiny;Tianwan-3;1126;Lekkowodny;WWER;VVER-1000/428M (AES-91);Enegetyczny;15.lut.18;;;;","
Azja;Chiny;Tianwan-4;1126;Lekkowodny;WWER;VVER-1000/428M (AES-91);Enegetyczny;22.gru.18;;;;","
Azja;Chiny;Tianwan-5;1080;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2021;;W budowie","
Azja;Chiny;Tianwan-6;1080;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2022;;W budowie","
Azja;Chiny;Yangjiang 1;1086;Lekkowodny;PWR;CPR-1000;Enegetyczny;25.mar.14;;;;","
Azja;Chiny;Yangjiang 2;1086;Lekkowodny;PWR;CPR-1000;Enegetyczny;05.cze.15;;;;","
Azja;Chiny;Yangjiang 3;1086;Lekkowodny;PWR;CPR-1000+;Enegetyczny;18.paŸ.15;;;;","
Azja;Chiny;Yangjiang 4;1086;Lekkowodny;PWR;CPR-1000+;Enegetyczny;08.sty.17;;;;","
Azja;Chiny;Yangjiang 5;1086;Lekkowodny;PWR;HPR1000;Enegetyczny;12.lip.18;;;;","
Azja;Chiny;Yangjiang 6;1086;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2019;;Trwaj¹ ostatnie prace prac¹ komercyjn¹","
